1,1-Methylhistidine,CN1C=NC(C[C@H](N)C(O)=O)=C1
2,"1,3-Diaminopropane",NCCCN
3,2-Ketobutyric acid,CCC(=O)C(O)=O
4,2-Hydroxybutyric acid,CCC(O)C(O)=O
5,2-Methoxyestrone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3
6,(R)-3-Hydroxybutyric acid,C[C@@H](O)CC(O)=O
7,Deoxyuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O
8,Deoxycytidine,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
9,Cortexolone,[H]C12CC[C@](O)(C(=O)CO)[C@@]1(C)CCC1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
10,Deoxycorticosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
11,4-Pyridoxic acid,CC1=NC=C(CO)C(C(O)=O)=C1O
12,alpha-Ketoisovaleric acid,CC(C)C(=O)C(O)=O
13,p-Hydroxyphenylacetic acid,OC(=O)CC1=CC=C(O)C=C1
14,Iodotyrosine,N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O
15,3-Methoxytyramine,COC1=C(O)C=CC(CCN)=C1
16,(S)-3-Hydroxyisobutyric acid,C[C@@H](CO)C(O)=O
17,3-O-Sulfogalactosylceramide (d18:1/24:0),CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(O)(=O)=O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC
18,Ureidopropionic acid,NC(=O)NCCC(O)=O
19,Tetrahydrobiopterin,CC(O)C(O)C1CNC2=C(N1)C(=O)N=C(N)N2
20,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
21,Androsterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(O)CC[C@]12C
22,7-Dehydrocholesterol,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC=C2C[C@@H](O)CC[C@]12C
23,Carnosine,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O
24,Adenine,NC1=C2NC=NC2=NC=N1
25,Taurocholic acid,[H][C@@]12C[C@H](O)CCC1(C)C1C[C@H](O)C3(C)C(CCC3C1[C@H](O)C2)C(C)CCC(=O)NCCS(O)(=O)=O
26,Aldosterone,C[C@]12CCC(=O)C=C1CCC1C3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)C21)C=O
27,Dihydrobiopterin,CC(O)C(O)C1=NC2=C(NC1)N=C(N)NC2=O
28,Butyric acid,CCCC(O)=O
29,Acetic acid,CC(O)=O
30,Betaine,C[N+](C)(C)CC([O-])=O
31,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
32,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
33,Melibiose,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
35,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
36,Ammonia,N
37,Argininosuccinic acid,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O
38,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
39,Bilirubin,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1
40,Cellobiose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
41,beta-Alanine,NCCC(O)=O
42,Cyclic AMP,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O
43,Acetoacetic acid,CC(=O)CC(O)=O
44,"Adenosine 3',5'-diphosphate",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
45,L-Carnitine,C[N+](C)(C)C[C@H](O)CC([O-])=O
46,Cortisol,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
47,Creatine,CN(CC(O)=O)C(N)=N
49,Cholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
50,Epinephrine,CNC[C@H](O)C1=CC(O)=C(O)C=C1
51,Pipecolic acid,OC(=O)C1CCCCN1
52,Deoxyinosine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O
53,cis-Aconitic acid,OC(=O)C\C(=C\C(O)=O)C(O)=O
54,Dopamine,NCCC1=CC(O)=C(O)C=C1
55,Dihydrouracil,O=C1CCNC(=O)N1
56,Dehydroepiandrosterone,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CCC2=O
57,Cysteinylglycine,N[C@@H](CS)C(=O)NCC(O)=O
58,Dihydrothymine,CC1CNC(=O)NC1=O
59,Cytidine triphosphate,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
60,Deoxyguanosine,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1
61,Glycerophosphocholine,C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO
62,Dimethylamine,CNC
63,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
64,Dimethylglycine,CN(C)CC(O)=O
65,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O
66,Cytidine monophosphate,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
67,Choline,C[N+](C)(C)CCO
68,D-Xylose,O[C@@H]1COC(O)[C@H](O)[C@H]1O
69,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O
70,Deoxyadenosine,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
73,Galactitol,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
74,Ethanol,CCO
76,gamma-Aminobutyric acid,NCCCC(O)=O
77,Glycerylphosphorylethanolamine,OCCN(CC(O)CO)P(O)(O)=O
78,Glycolic acid,OCC(O)=O
80,Homovanillic acid,COC1=CC(CC(O)=O)=CC=C1O
81,Glyoxylic acid,OC(=O)C=O
82,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
83,D-Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
84,Glycine,NCC(O)=O
85,Fructose 6-phosphate,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
86,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
87,Glycerol 3-phosphate,OC[C@@H](O)COP(O)(O)=O
88,D-Glucuronic acid,O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
89,Guanidoacetic acid,NC(=N)NCC(O)=O
90,Homogentisic acid,OC(=O)CC1=C(O)C=CC(O)=C1
91,Glycerol,OCC(O)CO
92,Guanine,NC1=NC(=O)C2=C(N1)N=CN2
93,Guanosine,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
94,Fumaric acid,OC(=O)\C=C\C(O)=O
95,Glycocholic acid,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C
96,Glyceric acid,OC[C@@H](O)C(O)=O
97,Glucosylceramide,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)C(O)[C@H](O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC
98,Formic acid,OC=O
